query_id,template_id,sql_text
Q137_V002,Q_1500,"SELECT COALESCE(r_name, 'AFRICA') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V003,Q_1501,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region LEFT JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V004,Q_1502,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region RIGHT JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V005,Q_1503,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey != n_regionkey JOIN customer ON n_nationkey = c_nationkey JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V006,Q_1504,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey LEFT JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V007,Q_1505,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey = c_nationkey  JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region , nation NULLS LAST, segment NULLS LAST;"
Q137_V008,Q_1506,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey = n_regionkey JOIN customer ON n_nationkey != c_nationkey  JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V009,Q_1507,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey = n_regionkey LEFT JOIN customer ON n_nationkey != c_nationkey  JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST, nation NULLS LAST, segment NULLS LAST;"
Q137_V010,Q_1508,"SELECT COALESCE(r_name, 'ALL REGIONS') AS region, COALESCE(n_name, 'ALL NATIONS') AS nation, COALESCE(c_mktsegment, 'ALL SEGMENTS') AS segment, COUNT(DISTINCT c_custkey) AS customers, COUNT(o_orderkey) AS orders, SUM(o_totalprice) AS revenue FROM region JOIN nation ON r_regionkey = n_regionkey LEFT JOIN customer ON n_nationkey != c_nationkey  JOIN orders ON c_custkey = o_custkey GROUP BY ROLLUP(r_name, n_name, c_mktsegment) ORDER BY region NULLS LAST;"
Q138_V001,Q_1509,"WITH order_stats AS ( SELECT c_nationkey, o_custkey, o_orderkey, o_totalprice, AVG(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_avg, STDDEV(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_stddev FROM orders JOIN customer ON o_custkey = c_custkey ) SELECT o_orderkey, o_custkey, o_totalprice, nat_avg, ROUND((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0), 3) AS z_score FROM order_stats WHERE ABS((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0)) > 3 ORDER BY z_score DESC LIMIT 50;"
Q138_V002,Q_1510,"WITH order_stats AS ( SELECT c_nationkey, o_custkey, o_orderkey, o_totalprice, AVG(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_avg, STDDEV(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_stddev FROM orders JOIN customer ON o_custkey = c_custkey ) SELECT o_orderkey, o_custkey, o_totalprice, nat_avg, ROUND((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0), 3) AS z_score FROM order_stats WHERE ABS((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0)) > 3 ORDER BY z_score DESC LIMIT 100;"
Q138_V003,Q_1511,"WITH order_stats AS ( SELECT c_nationkey, o_custkey, o_orderkey, o_totalprice, AVG(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_avg, STDDEV(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_stddev FROM orders JOIN customer ON o_custkey = c_custkey ) SELECT o_orderkey, o_custkey, o_totalprice, nat_avg, ROUND((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0), 3) AS z_score FROM order_stats WHERE ABS((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0)) > 1 ORDER BY z_score DESC LIMIT 100;"
Q138_V004,Q_1512,"WITH order_stats AS ( SELECT c_nationkey, o_custkey, o_orderkey, o_totalprice, AVG(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_avg, STDDEV(o_totalprice) OVER (PARTITION BY c_nationkey) AS nat_stddev FROM orders JOIN customer ON o_custkey = c_custkey ) SELECT o_orderkey, o_custkey, o_totalprice, nat_avg, ROUND((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0), 3) AS z_score FROM order_stats WHERE ABS((o_totalprice - nat_avg) / NULLIF(nat_stddev, 0)) > 2 ORDER BY z_score DESC LIMIT 100;"
