query_id,template_id,sql_text
Q63_V005,Q_0700,SELECT SUM(l_extendedprice * l_discount) AS total_discount FROM lineitem WHERE l_linestatus = 'O';
Q63_V006,Q_0701,"SELECT l_orderkey, SUM(l_extendedprice * l_discount) AS total_discount FROM lineitem GROUP BY l_orderkey ORDER BY total_discount DESC LIMIT 20;"
Q63_V007,Q_0702,"SELECT SUM(l_extendedprice * l_discount) AS total_discount, COUNT(*) AS line_count FROM lineitem;"
Q63_V008,Q_0703,SELECT SUM(l_extendedprice * l_discount) AS total_discount FROM lineitem WHERE l_returnflag = 'R';
Q63_V009,Q_0704,SELECT SUM(l_extendedprice * l_discount) AS total_discount FROM lineitem WHERE l_discount BETWEEN 0.05 AND 0.10;
Q63_V010,Q_0705,SELECT SUM(l_extendedprice * l_discount) AS total_discount FROM lineitem WHERE l_quantity > 20;
Q63_V011,Q_0706,"SELECT EXTRACT(YEAR FROM l_shipdate) AS year, SUM(l_extendedprice * l_discount) AS total_discount FROM lineitem GROUP BY year ORDER BY year;"
Q64_V001,Q_0707,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE 'Customer#0000001%';"
Q64_V002,Q_0708,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE 'Customer#0000002%';"
Q64_V003,Q_0709,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE 'Customer#000001%';"
Q64_V004,Q_0710,"SELECT c_custkey, c_name, c_address, c_acctbal FROM customer WHERE c_name LIKE 'Customer#0000001%';"
Q64_V005,Q_0711,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE 'Customer#0000001%' ORDER BY c_name;"
Q64_V006,Q_0712,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE '%0000001%';"
Q64_V007,Q_0713,SELECT COUNT(*) AS cust_count FROM customer WHERE c_name LIKE 'Customer#0000001%';
Q64_V008,Q_0714,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE 'Customer#0000001%' AND c_acctbal > 0;"
Q64_V009,Q_0715,"SELECT c_custkey, c_name, c_address, c_mktsegment FROM customer WHERE c_name LIKE 'Customer#0000001%';"
Q64_V010,Q_0716,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_name LIKE 'Customer#00000015%';"
Q64_V011,Q_0717,"SELECT c_custkey, c_name, c_address FROM customer WHERE c_custkey BETWEEN 1 AND 100;"
Q65_V001,Q_0718,"SELECT l_shipinstruct, COUNT(*) AS cnt FROM lineitem GROUP BY l_shipinstruct;"
Q65_V002,Q_0719,"SELECT l_shipinstruct, COUNT(*) AS cnt FROM lineitem GROUP BY l_shipinstruct ORDER BY cnt DESC;"
Q65_V003,Q_0720,"SELECT l_shipinstruct, COUNT(*) AS cnt FROM lineitem WHERE l_shipdate >= DATE '1996-01-01' GROUP BY l_shipinstruct;"
Q65_V004,Q_0721,"SELECT l_shipinstruct, SUM(l_extendedprice) AS total_revenue FROM lineitem GROUP BY l_shipinstruct;"
Q65_V005,Q_0722,"SELECT l_shipinstruct, AVG(l_quantity) AS avg_qty FROM lineitem GROUP BY l_shipinstruct;"
Q65_V006,Q_0723,"SELECT l_shipinstruct, COUNT(*) AS cnt FROM lineitem WHERE l_linestatus = 'O' GROUP BY l_shipinstruct;"
Q65_V007,Q_0724,"SELECT l_shipinstruct, COUNT(*) AS cnt, AVG(l_extendedprice) AS avg_price FROM lineitem GROUP BY l_shipinstruct;"
Q65_V008,Q_0725,"SELECT l_shipinstruct, COUNT(DISTINCT l_orderkey) AS order_count FROM lineitem GROUP BY l_shipinstruct;"
Q65_V009,Q_0726,"SELECT l_shipinstruct, MAX(l_extendedprice) AS max_price FROM lineitem GROUP BY l_shipinstruct ORDER BY max_price DESC;"
Q65_V010,Q_0727,"SELECT l_shipinstruct, COUNT(*) AS cnt FROM lineitem WHERE l_discount > 0.05 GROUP BY l_shipinstruct;"
Q65_V011,Q_0728,"SELECT l_shipinstruct, MIN(l_extendedprice) AS min_price, MAX(l_extendedprice) AS max_price FROM lineitem GROUP BY l_shipinstruct;"
Q66_V001,Q_0729,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 5;"
Q66_V002,Q_0730,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 10;"
Q66_V003,Q_0731,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 3;"
Q66_V004,Q_0732,"SELECT s_name, s_address, s_nationkey, s_acctbal FROM supplier WHERE s_nationkey = 5;"
Q66_V005,Q_0733,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 5 ORDER BY s_name;"
Q66_V006,Q_0734,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey IN (5, 10, 15);"
Q66_V007,Q_0735,SELECT COUNT(*) AS supplier_count FROM supplier WHERE s_nationkey = 5;
Q66_V008,Q_0736,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 5 AND s_acctbal > 0;"
Q66_V009,Q_0737,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 7;"
Q66_V010,Q_0738,"SELECT s_name, s_address, s_nationkey FROM supplier WHERE s_nationkey = 5 AND s_acctbal > 5000;"
Q66_V011,Q_0739,"SELECT s_nationkey, COUNT(*) AS supplier_count FROM supplier GROUP BY s_nationkey ORDER BY supplier_count DESC;"
Q67_V001,Q_0740,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 0;"
Q67_V002,Q_0741,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 1;"
Q67_V003,Q_0742,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 0 ORDER BY o_orderdate;"
Q67_V004,Q_0743,"SELECT o_orderkey, o_orderdate, o_shippriority, o_totalprice FROM orders WHERE o_shippriority = 0;"
Q67_V005,Q_0744,"SELECT o_shippriority, COUNT(*) AS order_count FROM orders GROUP BY o_shippriority ORDER BY o_shippriority;"
Q67_V006,Q_0745,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 0 AND o_orderstatus = 'F';"
Q67_V007,Q_0746,SELECT COUNT(*) AS priority_zero_count FROM orders WHERE o_shippriority = 0;
Q67_V008,Q_0747,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 0 ORDER BY o_totalprice DESC LIMIT 100;"
Q67_V009,Q_0748,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 0 AND o_orderdate >= DATE '1995-01-01';"
Q67_V010,Q_0749,"SELECT o_orderkey, o_orderdate, o_shippriority FROM orders WHERE o_shippriority = 0 LIMIT 50;"
